0.846666667,0.906666667,0.92,,,SUNIWARD
0.844666667,0.867333333,0.876666667,,,WOW
0.809333333,0.838,0.828666667,,,HUGO
0.501333333,0.534666667,0.445333333,,,LSB
,,,,,
,,,,,
0.855333333,0.868,0.920666667,,,
0.455333333,0.802,0.892666667,,,
0.812,0.762666667,0.874,,,
0.51,0.492,0.81,,,
,,,,,
,,,,,
0.83,0.886,0.915333333,,,
0.384,0.814666667,0.824,,,
0.742666667,0.798666667,0.469333333,,,
0.74,0.698666667,0.437333333,,,
,,,,,
,,,,,
0.952,0.979333333,0.986,,,
0.93,0.970666667,0.978666667,,,
0.916,0.964,0.976666667,,,
0.882666667,0.933333333,0.943333333,,,
